PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description ,Comments
,,,I60.9+G46.7*,"Subarachnoid haemorrhage, unspecified/Other lacunar syndromes (I60-I67+)",
,,,I60.9+G46.8*,"Subarachnoid haemorrhage, unspecified/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+)",
,,,I62.0,Subdural haemorrhage (acute)(nontraumatic),
,,,I62.0+G46.3*,Subdural haemorrhage (acute)(nontraumatic)/Brain stem stroke syndrome (I60-I67+),
,,,I62.0+G46.4*,Subdural haemorrhage (acute)(nontraumatic)/Cerebellar stroke syndrome (I60-I67+),
,,,I62.0+G46.5*,Subdural haemorrhage (acute)(nontraumatic)/Pure motor lacunar syndrome (I60-I67+),
,,,I62.0+G46.6*,Subdural haemorrhage (acute)(nontraumatic)/Pure sensory lacunar syndrome (I60-I67+),
,,,I62.0+G46.7*,Subdural haemorrhage (acute)(nontraumatic)/Other lacunar syndromes (I60-I67+),
,,,I62.0+G46.8*,Subdural haemorrhage (acute)(nontraumatic)/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I62.1,Nontraumatic extradural haemorrhage,
,,,I62.1+G46.3*,Nontraumatic extradural haemorrhage/Brain stem stroke syndrome (I60-I67+),
,,,I62.1+G46.4*,Nontraumatic extradural haemorrhage/Cerebellar stroke syndrome (I60-I67+),
,,,I62.1+G46.5*,Nontraumatic extradural haemorrhage/Pure motor lacunar syndrome (I60-I67+),
,,,I62.1+G46.6*,Nontraumatic extradural haemorrhage/Pure sensory lacunar syndrome (I60-I67+),
,,,I62.1+G46.7*,Nontraumatic extradural haemorrhage/Other lacunar syndromes (I60-I67+),
,,,I62.1+G46.8*,Nontraumatic extradural haemorrhage/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I62.9,Intracranial haemorrhage (nontraumatic) unspecified,
,,,I62.9+G46.3*,Intracranial haemorrhage (nontraumatic) unspecified/Brain stem stroke syndrome (I60-I67+),
,,,I62.9+G46.4*,Intracranial haemorrhage (nontraumatic) unspecified/Cerebellar stroke syndrome (I60-I67+),
,,,I62.9+G46.5*,"Intracranial haemorrhage (nontraumatic), unspecified/Pure motor lacunar syndrome (I60-I67+)",
,,,I62.9+G46.6*,"Intracranial haemorrhage (nontraumatic), unspecified/Pure sensory lacunar syndrome (I60-I67+)",
,,,I62.9+G46.7*,"Intracranial haemorrhage (nontraumatic), unspecified/Other lacunar syndromes (I60-I67+)",
,,,I62.9+G46.8*,"Intracranial haemorrhage (nontraumatic), unspecified/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+)",
,,,I69.0,Sequelae of subarachnoid haemorrhage,
,,,I69.2,Sequelae of other nontraumatic intracranial haemorrhage,
,,,S06.40,"Epidural haemorrhage, without open intracranial wound",
,,,S06.41,"Epidural haemorrhage, with open intracranial wound",
,,,S06.50,"Traumatic subdural haemorrhage, without open intracranial wound",
,,,S06.51,"Traumatic subdural haemorrhage, with open intracranial wound",
,,,S06.60,"Traumatic subarachnoid haemorrhage, without open intracranial wound",
,,,S06.61,"Traumatic subarachnoid haemorrhage, with open intracranial wound",
305A,Tetanus,Medical management; ventilation,A33,Tetanus neonatorum,
,,,A34,Obstetrical tetanus,
,,,A35,Other tetanus,
265A,Transient cerebral ischaemia; life-threatening cerebrovascular conditions NOS,Evaluation; medical management; surgery,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,
,,,G45.0,Vertebro-basilar artery syndrome,
,,,G45.1,Carotid artery syndrome (hemispheric),
,,,G45.2,Multiple and bilateral precerebral artery syndromes,
,,,G45.3,Amaurosis fugax,
,,,G45.4,Transient global amnesia,
,,,G45.8,Other transient cerebral ischaemic attacks and related syndromes,
,,,G45.9,"Transient cerebral ischaemic attack, unspecified",
,,,I66.0+G46.0*,Occlusion and stenosis of middle cerebral artery/Middle cerebral artery syndrome (I66.0+),
,,,I66.1+G46.1*,Occlusion and stenosis of anterior cerebral artery/Anterior cerebral artery syndrome (I66.1+),
,,,I66.2+G46.2*,Occlusion and stenosis of posterior cerebral artery/Posterior cerebral artery syndrome (I66.2+),
,,,G46.3,Brain stem stroke syndrome (I60-I67+),
,,,G46.4,Cerebellar stroke syndrome (I60-I67+),
,,,G46.5,Pure motor lacunar syndrome (I60-I67+),
,,,G46.6,Pure sensory lacunar syndrome (I60-I67+),
,,,G46.7,Other lacunar syndromes (I60-I67+),
,,,G46.8,Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,G93.4,"Encephalopathy, unspecified",
,,,I66.0,Occlusion and stenosis of middle cerebral artery,
,,,I66.1,Occlusion and stenosis of anterior cerebral artery,
,,,I66.2,Occlusion and stenosis of posterior cerebral artery,
,,,I66.3,Occlusion and stenosis of cerebellar arteries,
,,,I66.4,Occlusion and stenosis of multiple and bilateral cerebral arteries,
,,,I66.8,Occlusion and stenosis of other cerebral artery,
,,,I66.9,Occlusion and stenosis of unspecified cerebral artery,
,,,I67.0+G46.3*,"Dissection of cerebral arteries, nonruptured/Brain stem stroke syndrome (I60-I67+)",
,,,I67.0+G46.4*,"Dissection of cerebral arteries, nonruptured/Cerebellar stroke syndrome (I60-I67+)",
,,,I67.0+G46.5*,"Dissection of cerebral arteries, nonruptured/Pure motor lacunar syndrome (I60-I67+)",
,,,I67.0+G46.6*,"Dissection of cerebral arteries, nonruptured/Pure sensory lacunar syndrome (I60-I67+)",
,,,I67.0+G46.7*,"Dissection of cerebral arteries, nonruptured/Other lacunar syndromes (I60-I67+)",
,,,I67.0+G46.8*,"Dissection of cerebral arteries, nonruptured/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+)",
,,,I67.1,"Cerebral aneurysm, nonruptured",
,,,I67.1+G46.3*,"Cerebral aneurysm, nonruptured/Brain stem stroke syndrome (I60-I67+)",
,,,I67.1+G46.4*,"Cerebral aneurysm, nonruptured/Cerebellar stroke syndrome (I60-I67+)",
,,,I67.1+G46.5*,"Cerebral aneurysm, nonruptured/Pure motor lacunar syndrome (I60-I67+)",
,,,I67.1+G46.6*,"Cerebral aneurysm, nonruptured/Pure sensory lacunar syndrome (I60-I67+)",
,,,I67.1+G46.7*,"Cerebral aneurysm, nonruptured/Other lacunar syndromes (I60-I67+)",
,,,I67.1+G46.8*,"Cerebral aneurysm, nonruptured/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+)",
,,,I67.2,Cerebral atherosclerosis,
,,,I67.2+G46.3*,Cerebral atherosclerosis/Brain stem stroke syndrome (I60-I67+),
,,,I67.2+G46.4*,Cerebral atherosclerosis/Cerebellar stroke syndrome (I60-I67+),
,,,I67.2+G46.5*,Cerebral atherosclerosis/Pure motor lacunar syndrome (I60-I67+),
,,,I67.2+G46.6*,Cerebral atherosclerosis/Pure sensory lacunar syndrome (I60-I67+),
,,,I67.2+G46.7*,Cerebral atherosclerosis/Other lacunar syndromes (I60-I67+),
,,,I67.2+G46.8*,Cerebral atherosclerosis/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I67.3,Progressive vascular leukoencephalopathy,
,,,I67.3+G46.3*,Progressive vascular leukoencephalopathy/Brain stem stroke syndrome (I60-I67+),
,,,I67.3+G46.4*,Progressive vascular leukoencephalopathy/Cerebellar stroke syndrome (I60-I67+),
,,,I67.3+G46.5*,Progressive vascular leukoencephalopathy/Pure motor lacunar syndrome (I60-I67+),
,,,I67.3+G46.6*,Progressive vascular leukoencephalopathy/Pure sensory lacunar syndrome (I60-I67+),
,,,I67.3+G46.7*,Progressive vascular leukoencephalopathy/Other lacunar syndromes (I60-I67+),
,,,I67.3+G46.8*,Progressive vascular leukoencephalopathy/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I67.4,Hypertensive encephalopathy,
,,,I67.4+G46.3*,Hypertensive encephalopathy/Brain stem stroke syndrome (I60-I67+),
,,,I67.4+G46.4*,Hypertensive encephalopathy/Cerebellar stroke syndrome (I60-I67+),
,,,I67.4+G46.5*,Hypertensive encephalopathy/Pure motor lacunar syndrome (I60-I67+),
,,,I67.4+G46.6*,Hypertensive encephalopathy/Pure sensory lacunar syndrome (I60-I67+),
,,,I67.4+G46.7*,Hypertensive encephalopathy/Other lacunar syndromes (I60-I67+),
,,,I67.4+G46.8*,Hypertensive encephalopathy/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I67.5,Moyamoya disease,
,,,I67.5+G46.3*,Moyamoya disease/Brain stem stroke syndrome (I60-I67+),
,,,I67.5+G46.4*,Moyamoya disease/Cerebellar stroke syndrome (I60-I67+),
,,,I67.5+G46.5*,Moyamoya disease/Pure motor lacunar syndrome (I60-I67+),
,,,I67.5+G46.6*,Moyamoya disease/Pure sensory lacunar syndrome (I60-I67+),
,,,I67.5+G46.7*,Moyamoya disease/Other lacunar syndromes (I60-I67+),
,,,I67.5+G46.8*,Moyamoya disease/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I67.8,Other specified cerebrovascular diseases,
,,,I67.8+G46.3*,Other specified cerebrovascular diseases/Brain stem stroke syndrome (I60-I67+),
,,,I67.8+G46.4*,Other specified cerebrovascular diseases/Cerebellar stroke syndrome (I60-I67+),
,,,I67.8+G46.5*,Other specified cerebrovascular diseases/Pure motor lacunar syndrome (I60-I67+),
,,,I67.8+G46.6*,Other specified cerebrovascular diseases/Pure sensory lacunar syndrome (I60-I67+),
,,,I67.8+G46.7*,Other specified cerebrovascular diseases/Other lacunar syndromes (I60-I67+),
,,,I67.8+G46.8*,Other specified cerebrovascular diseases/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I67.9,"Cerebrovascular disease, unspecified",
,,,I67.9+G46.3*,"Cerebrovascular disease, unspecified/Brain stem stroke syndrome (I60-I67+)",
,,,I67.9+G46.4*,"Cerebrovascular disease, unspecified/Cerebellar stroke syndrome (I60-I67+)",
,,,I67.9+G46.5*,"Cerebrovascular disease, unspecified/Pure motor lacunar syndrome (I60-I67+)",
,,,I67.9+G46.6*,"Cerebrovascular disease, unspecified/Pure sensory lacunar syndrome (I60-I67+)",
,,,I67.9+G46.7*,"Cerebrovascular disease, unspecified/Other lacunar syndromes (I60-I67+)",
,,,I67.9+G46.8*,"Cerebrovascular disease, unspecified/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+)",
,,,Q28.0,Arteriovenous malformation of precerebral vessels,
,,,Q28.1,Other malformations of precerebral vessels,
,,,Q28.2,Arteriovenous malformation of cerebral vessels,
,,,Q28.3,Other malformations of cerebral vessels,
109A,"Vertebral dislocations/ fractures, open or closed with injury to spinal cord",Repair /reconstruction; medical management; inpatient rehabilitation up to 2 months ,M43.31,"Recurrent atlantoaxial subluxation with myelopathy, occipiti-atlanot-axial region",
,,,M99.10,"Subluxation complex (vertebral), head region; occipitocervical",
,,,M99.11,"Subluxation complex (vertebral), cervical region;cervicothoracic",
,,,M99.12,"Subluxation complex (vertebral), thoracic region, thoracolumbar",
,,,M99.13,"Subluxation complex (vertebral), lumbar region, lumbosacral",
,,,M99.14,"Subluxation complex (vertebral), sacral region; sacrococcygeal, sacroiliac",
,,,M99.20,"Subluxation stenosis of neural canal, head region; occipitocervical",
,,,M99.21,"Subluxation stenosis of neural canal, cervical region; cervicothoracic",
,,,M99.22,"Subluxation stenosis of neural canal, thoracic region; thoracolumbar",
,,,M99.23,"Subluxation stenosis of neural canal, lumbar region; lumbosacral",
,,,M99.24,"Subluxation stenosis of neural canal, sacral region; sacrococcygeal, sacroilia",
,,,S12.00,"Fracture of first cervical vertebra, closed",
,,,S12.01,"Fracture of first cervical vertebra, open",
,,,S12.10,"Fracture of second cervical vertebra, closed",
,,,S12.11,"Fracture of second cervical vertebra, open",
,,,S12.20,"Fracture of other specified cervical vertebra, closed",
,,,S12.21,"Fracture of other specified cervical vertebra, open",
,,,S12.70,"Multiple fractures of cervical spine, closed",
,,,S12.71,"Multiple fractures of cervical spine, open",
,,,S12.80,"Fracture of other parts of neck, closed",
,,,S12.81,"Fracture of other parts of neck, open",
,,,S12.90,"Fracture of neck, part unspecified, closed",
,,,S12.91,"Fracture of neck, part unspecified, open",
,,,S13.0,Traumatic rupture of cervical intervertebral disc,
,,,S13.1,Dislocation of cervical vertebra,
,,,S13.2,Dislocation of other and unspecified parts of neck,
,,,S13.3,Multiple dislocations of neck,
,,,S14.1,Other and unspecified injuries of cervical spinal cord,
,,,S22.00,"Fracture of thoracic vertebra, closed",
,,,S22.01,"Fracture of thoracic vertebra, open",
,,,S22.10,"Multiple fractures of thoracic spine, closed",
,,,S22.11,"Multiple fractures of thoracic spine, open",
,,,S23.1,Dislocation of thoracic vertebra,
,,,S23.2,Dislocation of other and unspecified parts of thorax,
,,,S24.0,Concussion and oedema of thoracic spinal cord,
,,,S24.1,Other and unspecified injuries of thoracic spinal cord,
,,,S32.00,"Fracture of lumbar vertebra, closed",
,,,S32.01,"Fracture of lumbar vertebra, open",
,,,S32.10,"Fracture of sacrum, closed",
,,,S32.11,"Fracture of sacrum, open",
,,,S32.70,"Multiple fractures of lumbar spine and pelvis, closed",
,,,S32.71,"Multiple fractures of lumbar spine and pelvis, open",
,,,S32.80,"Fracture of other and unspecified parts of lumbar spine and pelvis, closed",
,,,S32.81,"Fracture of other and unspecified parts of lumbar spine and pelvis, open",
,,,S33.1,Dislocation of lumbar vertebra,If injury of spinal cord exist use DTP code 109A but without injury to spinal cord use 491H
,,,S33.2,Dislocation of sacroiliac and sacrococcygeal joint,
,,,S33.3,Dislocation of other and unspecified parts of lumbar spine and pelvis,
,,,S34.0,Concussion and oedema of lumbar spinal cord,
,,,S34.1,Other injury of lumbar spinal cord,
,,,T02.00,"Fractures involving head with neck, closed",
,,,T06.0,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,
,,,T09.3,Injury of spinal cord level unspecified,
,,,T91.3,Sequelae of injury of spinal cord,
684A,"Viral meningitis, encephalitis, myelitis and encephalomyelitis",Medical management,A82.0,Sylvatic rabies,
,,,A82.1,Urban rabies,
,,,A82.9,"Rabies, unspecified",
,,,A85.0,Enteroviral encephalitis (G05.1*),
,,,A85.0+G05.1*,"Enteroviral encephalitis/ Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,A85.1,Adenoviral encephalitis (G05.1*),
,,,A85.1+G05.1*,"Adenoviral encephalitis/ Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,A85.2,"Arthropod-borne viral encephalitis, unspecified",
,,,A85.8,Other specified viral encephalitis,
,,,A86,Unspecified viral encephalitis,
,,,A87.0,Enteroviral meningitis (G02.0*),
,,,A87.0+G02.0*,Enteroviral meningitis / Meningitis in viral diseases classified elsewhere,
,,,A87.1,Adenoviral meningitis (G02.0*),
,,,A87.1+G02.0*,Adenoviral meningitis / Meningitis in viral diseases classified elsewhere,
,,,A87.2,Lymphocytic choriomeningitis,
,,,A87.8,Other viral meningitis,
,,,A87.9,"Viral meningitis, unspecified",
,,,A88.0,Enteroviral exanthematous fever [Boston exanthem],
,,,A88.1,Epidemic vertigo,
,,,A88.8,Other specified viral infections of central nervous system,
,,,A89,Unspecified viral infection of central nervous system,
,,,B00.3,Herpesviral meningitis (G02.0*),
,,,B00.3+G02.0*,Herpesviral meningitis / Meningitis in viral diseases classified elsewhere,
,,,B00.4,Herpesviral encephalitis (G05.1*),
,,,B00.4+G05.1*,"Herpesviral encephalitis / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere ",
,,,B01.0,Varicella meningitis (G02.0*),
,,,B01.0+G02.0*,Varicella meningitis / Meningitis in viral diseases classified elsewhere,
,,,B01.1,Varicella encephalitis (G05.1*),
,,,B01.1+G05.1*,"Varicella encephalitis / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,B02.0,Zoster encephalitis (G05.1*),
,,,B02.0+G02.0*,Zoster encephalitis (G05.1*)/Meningitis in viral diseases classified elsewhere,
,,,B02.0+G05.1*,"Zoster encephalitis /  Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,B02.1,Zoster meningitis (G02.0*),
,,,B02.1+G02.0*,Zoster meningitis / Meningitis in viral diseases classified elsewhere,
,,,B02.2,Zoster with other nervous system involvement,
,,,B05.0,Measles complicated by encephalitis (G05.1*),
,,,B05.0+G02.0*,Measles complicated by encephalitis (G05.1*)/Meningitis in viral diseases classified elsewhere,
,,,B05.0+G05.1*,"Measles complicated by encephalitis / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,B05.1,Measles complicated by meningitis (G02.0*),
,,,B05.1+G02.0*,Measles complicated by meningitis / Meningitis in viral diseases classified elsewhere,
,,,B06.0,Rubella with neurological complications,
,,,B06.0+G02.0*,Rubella with neurological complications / Meningitis in viral diseases classified elsewhere,
,,,B06.0+G05.1*,"Rubella with neurological complications / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,B25.8+G05.1*,"Other cytomegaloviral diseases / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,B26.1,Mumps meningitis (G02.0*),
,,,B26.1+G02.0*,Mumps meningitis / Meningitis in viral diseases classified elsewhere,
,,,B26.2,Mumps encephalitis (G05.1*),
,,,B26.2+G05.1*,"Mumps encephalitis / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,B27.0+G02.0*,Gammaherpesviral mononucleosis / Meningitis in viral diseases classified elsewhere,
,,,B27.1+G02.0*,Cytomegaloviral mononucleosis / Meningitis in viral diseases classified elsewhere,
,,,B27.8+G02.0*,Other infectious mononucleosis / Meningitis in viral diseases classified elsewhere,
,,,B27.9+G02.0*,"Infectious mononucleosis, unspecified / Meningitis in viral diseases classified elsewhere",
,,,B94.1,Sequelae of viral encephalitis,
,,,G04.0,Acute disseminated encephalitis,
,,,G04.1,Tropical spastic paraplegia,
,,,G04.9,"Encephalitis, myelitis and encephalomyelitis, unspecified",
,,,G05.0,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",
,,,G05.1,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,G05.2,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",
,,,G05.8,"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere",
,,,J10.8+G05.1*,"Influenza with other manifestations, other influenza virus identified / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,J11.8+G05.1*,"Influenza with other manifestations, virus not identified / Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",
,,,M32.1+G05.8*,"Systemic lupus erythematosus with organ or system involvement / Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere",
EYE,,,,,
47B,Acute orbital cellulitis ,Medical and surgical management,H05.0,Acute inflammation of orbit,
394B,Angle-closure glaucoma,Iridectomy; laser surgery; medical and surgical management,H40.0,Glaucoma suspect,
,,,H40.2,Primary angle-closure glaucoma,
,,,H40.3,Glaucoma secondary to eye trauma,
,,,H40.4,Glaucoma secondary to eye inflammation,
,,,H40.5,Glaucoma secondary to other eye disorders,
,,,H40.6,Glaucoma secondary to drugs,
586B,Bell’s palsy; exposure keratoconjunctivitis,Tarsorrhaphy; medical and surgical management,G51.0,Bell's palsy,
,,,H16.2,Keratoconjunctivitis,
950B,Cancer of the eye and orbit - treatable,"Medical and surgical management, which includes radiation therapy and chemotherapy",C69.0,"Malignant neoplasm, conjunctiva",
,,,C69.0+D63.0*,"Malignant neoplasm, conjunctiva/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.0+G13.0*,"Malignant neoplasm, conjunctiva/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.0+G13.1*,"Malignant neoplasm, conjunctiva/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.1,"Malignant neoplasm, cornea",
,,,C69.1+D63.0*,"Malignant neoplasm, cornea/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.1+G13.0*,"Malignant neoplasm, cornea/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.1+G13.1*,"Malignant neoplasm, cornea/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.2,"Malignant neoplasm, retina",
,,,C69.2+D63.0*,"Malignant neoplasm, retina/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.2+G13.0*,"Malignant neoplasm, retina/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.2+G13.1*,"Malignant neoplasm, retina/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.3,"Malignant neoplasm, choroid",
,,,C69.3+D63.0*,"Malignant neoplasm, choroid/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.3+G13.0*,"Malignant neoplasm, choroid/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.3+G13.1*,"Malignant neoplasm, choroid/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.4,"Malignant neoplasm, ciliary body",
,,,C69.4+D63.0*,"Malignant neoplasm, ciliary body/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.4+G13.0*,"Malignant neoplasm, ciliary body/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.4+G13.1*,"Malignant neoplasm, ciliary body/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.5,"Malignant neoplasm, lacrimal gland and duct",
,,,C69.5+D63.0*,"Malignant neoplasm, lacrimal gland and duct/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.5+G13.0*,"Malignant neoplasm, lacrimal gland and duct/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.5+G13.1*,"Malignant neoplasm, lacrimal gland and duct/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.6,"Malignant neoplasm, orbit",
,,,C69.6+D63.0*,"Malignant neoplasm, orbit/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.6+G13.0*,"Malignant neoplasm, orbit/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.6+G13.1*,"Malignant neoplasm, orbit/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.8,"Malignant neoplasm, overlapping lesion of eye and adnexa",
,,,C69.8+D63.0*,"Malignant neoplasm, overlapping lesion of eye and adnexa/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.8+G13.0*,"Malignant neoplasm, overlapping lesion of eye and adnexa/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.8+G13.1*,"Malignant neoplasm, overlapping lesion of eye and adnexa/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C69.9,"Malignant neoplasm, eye, unspecified",
,,,C69.9+D63.0*,"Malignant neoplasm, eye, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,C69.9+G13.0*,"Malignant neoplasm, eye, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,C69.9+G13.1*,"Malignant neoplasm, eye, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D09.2,"Carcinoma in situ, eye",
,,,D09.2+D63.0*,"Carcinoma in situ, eye/Anaemia in neoplastic disease (C00-D48+)",
,,,D09.2+G13.0*,"Carcinoma in situ, eye/Paraneoplastic neuromyopathy and neuropathy",
,,,D09.2+G13.1*,"Carcinoma in situ, eye/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
901B,Cataract; aphakia,Extraction of cataract; lens implant,E10.3+H28.0*,Insulin-dependent diabetes mellitus - With ophtalmic complications / Diabetic cataract,
,,,E11.3+H28.0*,Non-insulin-dependent diabetes mellitus - With ophtalmic complications / Diabetic cataract,
,,,E12.3+H28.0*,Malnutrition-related diabetes mellitus - With ophtalmic complications / Diabetic cataract,
,,,E13.3+H28.0*,Other specified diabetes mellitus - With ophtalmic complications / Diabetic cataract,
,,,E20.0+H28.1*,Idiopathic hypoparathyroidism / Cataract in other endocrine nutritional and metabolic diseases,
,,,E20.8+H28.1*,Other hypoparathyroidism / Cataract in other endocrine nutritional and metabolic diseases,
,,,E20.9+H28.1*,Hypoparathyroidism unspecified / Cataract in other endocrine nutritional and metabolic diseases,
,,,E34.9+H28.1*,Endocrine disorder unspecified / Cataract in other endocrine nutritional and metabolic diseases,
,,,E44.0+H28.1*,"Moderate protein-energy malnutrition/Cataract in other endocrine, nutritional and metabolic diseases",
,,,E44.1+H28.1*,"Mild protein-energy malnutrition/Cataract in other endocrine, nutritional and metabolic diseases",
,,,E45+H28.1*,"Retarded development following protein-energy malnutrition/Cataract in other endocrine, nutritional and metabolic diseases",
,,,E46+H28.1*,Unspecified protein-energy malnutrition / Cataract in other endocrine nutritional and metabolic diseases,
,,,E63.9+H28.1*,Nutritional deficiency unspecified / Cataract in other endocrine nutritional and metabolic diseases,
,,,E88.9+H28.1*,Metabolic disorder unspecified / Cataract in other endocrine nutritional and metabolic diseases,
,,,H25.0,Senile incipient cataract,
,,,H25.1,Senile nuclear cataract,
,,,H25.2,Senile cataract morgagnian type,
,,,H25.8,Other senile cataract,
,,,H25.9,Senile cataract unspecified,
,,,H26.0,Infantile juvenile and presenile cataract,
,,,H26.1,Traumatic cataract,
,,,H26.2,Complicated cataract,
,,,H26.3,Drug-induced cataract,
,,,H26.4,After-cataract,
,,,H26.8,Other specified cataract,
,,,H26.9,Cataract unspecified,
,,,H27.0,Aphakia,
,,,H28.0,Diabetic cataract (E10-E14+ with common fourth character .3),
,,,H28.1,"Cataract in other endocrine, nutritional and metabolic diseases",
,,,H28.2,Cataract in other diseases classified elsewhere,
,,,H28.2+G71.1*,Cataract in other diseases classified elsewhere/Myotonic disorders,
,,,H59.0,Keratopathy (bullous aphakic) following cataract surgery,
,,,Q12.0,Congenital cataract,
,,,Q12.3,Congenital aphakia,
,,,T85.2,Mechanical complication of intraocular lens,
911B,Corneal ulcer; Superficial injury of eye and adnexa ,Conjunctival flap; medical management,B60.1+H19.2*,Acanthamoebiasis / Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,
,,,B60.1+I52.1*,Acanthamoebiasis/Other heart disorders in other infectious and parasitic diseases classified elsewhere,
,,,H16.0,Corneal ulcer,
,,,H16.3,Interstitial and deep keratitis,
,,,H16.9,"Keratitis, unspecified",
,,,H18.1,Bullous keratopathy,
,,,S00.1,Contusion of eyelid and periocular area,
,,,S00.2,Other superficial injuries of eyelid and periocular area,
,,,S05.0,Injury of conjunctiva and corneal abrasion without mention of foreign body,
,,,S05.1,Contusion of eyeball and orbital tissues,
,,,T15.0,Foreign body in cornea,
,,,T15.1,Foreign body in conjunctival sac,Only applicable if superficial injury exist
,,,T26.1,Burn of cornea and conjunctival sac,
,,,T26.3,Burn of other parts of eye and adnexa,
,,,T26.4,"Burn of eye and adnexa, part unspecified",
,,,T26.6,Corrosion of cornea and conjunctival sac,
,,,T26.7,Corrosion with resulting rupture and destruction of eyeball,
,,,T26.8,Corrosion of other parts of eye and adnexa,
405B,Glaucoma associated with disorders of the lens,Surgical management,H40.5,Glaucoma secondary to other eye disorders,
,,,H40.8,Other glaucoma,
386B,Herpes zoster  & herpes simplex with ophthalmic complications,Medical management,B00.5,Herpesviral ocular disease ,
,,,B02.3,Zoster ocular disease ,
389B,Hyphaema,Removal of blood clot; observation,H21.0,Hyphaema,
485B,Inflammation of lacrimal passages,Incision; medical management,H04.0,Dacryoadenitis,
,,,H04.3,Acute and unspecified inflammation of lacrimal passages,
,,,H04.4,Chronic inflammation of lacrimal passages,
,,,H04.5,Stenosis and insufficiency of lacrimal passages,
909B,Open wound of eyeball and other eye structures,Medical and surgical management ,S01.1,Open wound of eyelid and periocular area,Only if open wound present
,,,S05.2,Ocular laceration and rupture with prolapse or loss of intraocular tissue,
,,,S05.3,Ocular laceration without prolapse or loss of intraocular tissue,
,,,S05.4,Penetrating wound of orbit with or without foreign body,
